element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,name
347,30,17,0,False,2023-08-27T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-473,6960,149,622,Carson
347,39,10,0,True,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-334,6847,142,476,Carson
347,49,19,0,False,2023-09-16T14:00:00Z,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-311,6817,134,445,Carson
348,1,6,0,False,2023-08-11T19:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,72,0,0,Charles
348,16,15,0,True,2023-08-19T19:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-20,50,0,20,Charles
348,30,17,0,False,2023-08-27T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-5,47,0,5,Charles
348,39,10,0,True,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-3,44,0,3,Charles
348,49,19,0,False,2023-09-16T14:00:00Z,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-3,41,0,3,Charles
349,1,6,1,False,2023-08-11T19:00:00Z,0,3,1,22,0,0,0,0,0,0,0,0,0,0,0,4,2.4,18.8,1.0,2.2,1,0.02,0.16,0.18,0.10,105,0,1377801,0,0,De Bruyne
349,16,15,0,True,2023-08-19T19:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,104,-969543,422194,6557,976100,De Bruyne
349,30,17,0,False,2023-08-27T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,103,-203221,252138,632,203853,De Bruyne
349,39,10,0,True,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,103,-48567,209582,432,48999,De Bruyne
349,49,19,0,False,2023-09-16T14:00:00Z,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,102,-26266,185988,478,26744,De Bruyne
350,1,6,0,False,2023-08-11T19:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,0,547826,0,0,Rúben
350,16,15,7,True,2023-08-19T19:00:00Z,1,0,2,90,0,0,1,0,0,0,0,0,0,0,1,28,10.6,1.9,0.0,1.3,1,0.00,0.01,0.01,0.29,55,-86857,545672,34260,121117,Rúben
350,30,17,2,False,2023-08-27T13:00:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,14,20.4,10.3,6.0,3.7,1,0.03,0.10,0.13,0.73,55,90888,688212,126534,35646,Rúben
350,39,10,2,True,2023-09-02T14:00:00Z,5,1,4,90,0,0,0,1,0,0,0,0,0,0,0,12,22.0,1.9,0.0,2.4,1,0.00,0.01,0.01,1.45,55,71223,797895,107340,36117,Rúben
350,49,19,2,False,2023-09-16T14:00:00Z,1,3,5,90,0,0,0,1,0,0,0,0,0,0,0,11,19.0,2.3,36.0,5.7,1,0.19,0.04,0.23,0.94,55,11102,842408,61531,50429,Rúben
352,1,6,6,False,2023-08-11T19:00:00Z,0,3,1,90,0,0,1,0,0,0,0,0,0,1,0,27,18.4,0.0,0.0,1.8,1,0.00,0.01,0.01,0.30,55,0,1174256,0,0,Ederson M.
352,16,15,6,True,2023-08-19T19:00:00Z,1,0,2,90,0,0,1,0,0,0,0,0,0,1,0,25,12.8,10.0,0.0,2.3,1,0.00,0.01,0.01,0.29,55,32402,1469985,88878,56476,Ederson M.
352,30,17,2,False,2023-08-27T13:00:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,7,4.4,0.0,0.0,0.4,1,0.00,0.00,0.00,0.73,55,184503,1771159,240617,56114,Ederson M.
352,39,10,3,True,2023-09-02T14:00:00Z,5,1,4,90,0,0,0,1,0,0,0,0,0,3,0,17,31.4,0.0,0.0,3.1,1,0.00,0.00,0.00,1.45,56,154222,2001750,217201,62979,Ederson M.
352,49,19,2,False,2023-09-16T14:00:00Z,1,3,5,90,0,0,0,1,0,0,0,0,0,2,0,12,16.2,0.0,0.0,1.6,1,0.00,0.00,0.00,0.94,56,19958,2068467,111211,91253,Ederson M.
353,1,6,3,False,2023-08-11T19:00:00Z,0,3,1,90,0,0,1,0,0,0,0,0,0,0,0,6,9.0,32.8,32.0,7.4,1,0.27,0.11,0.38,0.30,75,0,706434,0,0,Foden
353,16,15,9,True,2023-08-19T19:00:00Z,1,0,2,90,0,1,1,0,0,0,0,0,0,0,3,35,37.4,91.6,28.0,15.7,1,0.33,0.53,0.86,0.29,75,-10035,779132,77947,87982,Foden
353,30,17,4,False,2023-08-27T13:00:00Z,1,2,3,4,0,1,0,0,0,0,0,0,0,0,0,16,22.6,21.9,10.0,5.5,0,0.02,0.18,0.20,0.41,76,477115,1332873,531400,54285,Foden
353,39,10,5,True,2023-09-02T14:00:00Z,5,1,4,89,0,1,0,1,0,0,0,0,0,0,0,21,23.0,20.8,12.0,5.6,1,0.00,0.02,0.02,1.45,76,-2433,1344976,134325,136758,Foden
353,49,19,2,False,2023-09-16T14:00:00Z,1,3,5,66,0,0,0,1,0,0,0,0,0,0,0,11,6.6,27.7,35.0,6.9,1,0.15,0.16,0.31,0.92,76,-63243,1305109,88039,151282,Foden
354,1,6,0,False,2023-08-11T19:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,75,0,488362,0,0,Grealish
354,16,15,3,True,2023-08-19T19:00:00Z,1,0,2,90,0,0,1,0,0,0,0,0,0,0,0,7,12.6,9.5,19.0,4.1,1,0.09,0.04,0.13,0.29,74,-97274,425129,13903,111177,Grealish
354,30,17,7,False,2023-08-27T13:00:00Z,1,2,3,90,0,1,0,1,0,0,0,0,0,0,2,33,31.8,73.9,33.0,13.9,1,0.29,0.47,0.76,0.73,74,-51505,388414,16674,68179,Grealish
354,39,10,0,True,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,74,-11630,390284,22900,34530,Grealish
354,49,19,0,False,2023-09-16T14:00:00Z,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,73,-141720,250550,2707,144427,Grealish
355,1,6,13,False,2023-08-11T19:00:00Z,0,3,1,79,2,0,1,0,0,0,0,0,0,0,3,56,67.6,23.7,48.0,13.9,1,0.60,0.05,0.65,0.23,140,0,7200159,0,0,Haaland
355,16,15,2,True,2023-08-19T19:00:00Z,1,0,2,90,0,0,1,0,0,0,0,0,0,0,0,1,3.2,11.8,48.0,6.3,1,0.43,0.02,0.45,0.29,140,132944,8231668,161773,28829,Haaland
355,30,17,4,False,2023-08-27T13:00:00Z,1,2,3,90,1,0,0,1,0,0,1,0,0,0,0,14,34.2,12.9,97.0,14.4,1,1.93,0.01,1.94,0.73,140,64397,8571562,91189,26792,Haaland
355,39,10,20,True,2023-09-02T14:00:00Z,5,1,4,90,3,1,0,1,0,0,0,0,0,0,3,90,119.4,23.4,55.0,19.8,1,1.58,0.10,1.68,1.45,140,27163,8787213,53175,26012,Haaland
355,49,19,6,False,2023-09-16T14:00:00Z,1,3,5,90,1,0,0,1,0,0,0,0,0,0,0,15,41.2,14.5,118.0,17.4,1,2.56,0.03,2.59,0.94,141,88573,9070132,102747,14174,Haaland
356,1,6,3,False,2023-08-11T19:00:00Z,0,3,1,67,0,0,1,0,0,0,0,0,0,0,0,18,9.6,19.3,0.0,2.9,0,0.00,0.24,0.24,0.21,50,0,86893,0,0,Kovačić
356,16,15,3,True,2023-08-19T19:00:00Z,1,0,2,90,0,0,1,0,0,0,0,0,0,0,0,15,6.4,9.0,4.0,1.9,1,0.10,0.04,0.14,0.29,50,-1687,99862,11178,12865,Kovačić
356,30,17,2,False,2023-08-27T13:00:00Z,1,2,3,85,0,0,0,1,0,0,0,0,0,0,0,19,14.6,29.9,14.0,5.9,1,0.05,0.21,0.26,0.32,50,-6917,97267,9635,16552,Kovačić
356,39,10,2,True,2023-09-02T14:00:00Z,5,1,4,83,0,0,0,1,0,0,0,0,0,0,0,17,9.2,14.4,0.0,2.4,1,0.00,0.05,0.05,1.45,50,-9751,89775,5698,15449,Kovačić
356,49,19,0,False,2023-09-16T14:00:00Z,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-17589,74238,4044,21633,Kovačić
357,1,6,1,False,2023-08-11T19:00:00Z,0,3,1,11,0,0,0,0,0,0,0,0,0,0,0,4,11.4,0.1,17.0,2.9,0,0.12,0.00,0.12,0.07,50,0,33723,0,0,Laporte
357,16,15,0,True,2023-08-19T19:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-5238,35576,1232,6470,Laporte
357,30,17,0,False,2023-08-27T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-8763,28517,1108,9871,Laporte
357,39,10,0,True,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-10815,17861,0,10815,Laporte
357,49,19,0,False,2023-09-16T14:00:00Z,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-3788,14296,0,3788,Laporte
358,1,6,6,False,2023-08-11T19:00:00Z,0,3,1,78,0,0,1,0,0,0,0,0,0,0,0,25,2.2,5.8,0.0,0.8,1,0.00,0.01,0.01,0.23,45,0,33781,0,0,R.Lewis
358,16,15,0,True,2023-08-19T19:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,17713,64137,24989,7276,R.Lewis
358,30,17,0,False,2023-08-27T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-11277,53597,3764,15041,R.Lewis
358,39,10,1,True,2023-09-02T14:00:00Z,5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.8,2.0,0.3,0,0.00,0.01,0.01,0.00,45,-10741,43673,825,11566,R.Lewis
358,49,19,1,False,2023-09-16T14:00:00Z,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,0,0.00,0.00,0.00,0.00,45,-7939,36871,722,8661,R.Lewis
359,1,6,0,False,2023-08-11T19:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,75,0,9759,0,0,Mahrez
359,16,15,0,True,2023-08-19T19:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,75,-3355,6275,0,3355,Mahrez
359,30,17,0,False,2023-08-27T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,75,-922,5507,0,922,Mahrez
359,39,10,0,True,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,75,-416,5115,0,416,Mahrez
359,49,19,0,False,2023-09-16T14:00:00Z,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,75,-339,4779,0,339,Mahrez
361,1,6,0,False,2023-08-11T19:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,0,64704,0,0,Ortega Moreno
361,16,15,0,True,2023-08-19T19:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-4559,63680,1564,6123,Ortega Moreno
361,30,17,0,False,2023-08-27T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-5761,58823,816,6577,Ortega Moreno
361,39,10,0,True,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-4919,54436,549,5468,Ortega Moreno
361,49,19,0,False,2023-09-16T14:00:00Z,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,12191,76593,19538,7347,Ortega Moreno
363,1,6,0,False,2023-08-11T19:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,2308,0,0,Perrone
363,16,15,0,True,2023-08-19T19:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-279,2486,210,489,Perrone
363,30,17,0,False,2023-08-27T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-343,2284,122,465,Perrone
363,39,10,0,True,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-518,1767,0,518,Perrone
363,49,19,0,False,2023-09-16T14:00:00Z,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-310,1469,0,310,Perrone
364,1,6,0,False,2023-08-11T19:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,0,3997,0,0,Phillips
364,16,15,0,True,2023-08-19T19:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-747,4124,123,870,Phillips
364,30,17,0,False,2023-08-27T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-434,3992,141,575,Phillips
364,39,10,1,True,2023-09-02T14:00:00Z,5,1,4,6,0,0,0,0,0,0,0,0,0,0,0,6,4.2,0.9,0.0,0.5,0,0.00,0.01,0.01,0.00,49,-349,3818,83,432,Phillips
364,49,19,0,False,2023-09-16T14:00:00Z,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-182,3860,154,336,Phillips
365,1,6,13,False,2023-08-11T19:00:00Z,0,3,1,90,1,1,1,0,0,0,0,0,0,0,2,42,70.2,18.8,64.0,15.3,1,0.50,0.17,0.67,0.30,55,0,188887,0,0,Rodrigo
365,16,15,3,True,2023-08-19T19:00:00Z,1,0,2,90,0,0,1,0,0,0,0,0,0,0,0,19,20.4,8.4,2.0,3.1,1,0.00,0.07,0.07,0.29,56,395603,831130,422644,27041,Rodrigo
365,30,17,10,False,2023-08-27T13:00:00Z,1,2,3,90,1,0,0,1,0,0,0,0,0,0,3,39,51.8,19.3,37.0,10.8,1,0.27,0.09,0.36,0.73,56,114816,984866,204457,89641,Rodrigo
