element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,name
367,39,10,0,True,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-653,12796,166,819,Steffen
367,49,19,0,False,2023-09-16T14:00:00Z,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-596,12510,153,749,Steffen
368,1,6,0,False,2023-08-11T19:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,0,2333274,0,0,Stones
368,16,15,0,True,2023-08-19T19:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-857450,1505031,17301,874751,Stones
368,30,17,0,False,2023-08-27T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,53,-805451,715882,1349,806800,Stones
368,39,10,0,True,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,53,-192331,534020,804,193135,Stones
368,49,19,0,False,2023-09-16T14:00:00Z,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,53,-82731,456963,1943,84674,Stones
369,1,6,6,False,2023-08-11T19:00:00Z,0,3,1,90,0,0,1,0,0,0,0,0,0,0,0,26,3.6,14.5,2.0,2.0,1,0.00,0.04,0.04,0.30,50,0,266642,0,0,Walker
369,16,15,6,True,2023-08-19T19:00:00Z,1,0,2,90,0,0,1,0,0,0,0,0,0,0,0,25,7.2,16.3,4.0,2.8,1,0.00,0.05,0.05,0.29,50,87981,477500,107637,19656,Walker
369,30,17,2,False,2023-08-27T13:00:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,20,17.2,46.3,11.0,7.5,1,0.04,0.43,0.47,0.73,51,282609,816739,315193,32584,Walker
369,39,10,2,True,2023-09-02T14:00:00Z,5,1,4,90,0,0,0,1,0,0,0,0,0,0,0,14,9.6,5.5,4.0,1.9,1,0.00,0.03,0.03,1.45,52,245379,1114826,285979,40600,Walker
369,49,19,2,False,2023-09-16T14:00:00Z,1,3,5,90,0,0,0,1,0,0,0,0,0,0,0,20,20.2,34.2,4.0,5.8,1,0.00,0.15,0.15,0.94,52,64591,1205129,135320,70729,Walker
566,10,14,2,False,2023-08-14T19:00:00Z,1,0,1,90,0,0,0,1,0,0,0,0,0,0,0,10,24.6,27.8,2.0,5.4,1,0.00,0.08,0.08,1.46,50,0,18442,0,0,Matheus N.
566,20,5,-1,True,2023-08-19T14:00:00Z,1,4,2,90,0,0,0,4,0,0,0,0,1,0,0,5,4.8,18.0,12.0,3.5,1,0.05,0.17,0.22,2.27,50,1713,23879,4019,2306,Matheus N.
566,27,9,0,False,2023-08-26T14:00:00Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-8581,15133,343,8924,Matheus N.
566,39,10,0,True,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-1063,14941,1584,2647,Matheus N.
566,49,19,1,False,2023-09-16T14:00:00Z,1,3,5,23,0,0,0,0,0,0,0,0,0,0,0,2,0.0,3.5,2.0,0.5,0,0.00,0.01,0.01,0.02,50,-1673,13685,1413,3086,Matheus N.
616,1,6,1,False,2023-08-11T19:00:00Z,0,3,1,11,0,0,0,0,0,0,0,0,0,0,0,7,5.4,1.5,2.0,0.9,0,0.00,0.00,0.00,0.07,50,0,249939,0,0,Gvardiol
616,16,15,6,True,2023-08-19T19:00:00Z,1,0,2,90,0,0,1,0,0,0,0,0,0,0,0,24,12.6,1.5,0.0,1.4,1,0.00,0.01,0.01,0.29,50,1846,307221,37224,35378,Gvardiol
616,30,17,2,False,2023-08-27T13:00:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,14,15.4,29.8,0.0,4.5,1,0.00,0.04,0.04,0.73,50,163007,505315,191775,28768,Gvardiol
616,39,10,0,True,2023-09-02T14:00:00Z,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,51,106736,640038,145061,38325,Gvardiol
616,49,19,1,False,2023-09-16T14:00:00Z,1,3,5,90,0,0,0,1,0,0,0,1,0,0,0,15,12.4,30.2,15.0,5.8,1,0.08,0.36,0.44,0.94,51,-73539,572972,21981,95520,Gvardiol
678,30,17,0,False,2023-08-27T13:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,65,1076,1310,1189,113,Doku
678,39,10,2,True,2023-09-02T14:00:00Z,5,1,4,75,0,0,0,1,0,0,0,0,0,0,0,9,12.0,6.8,0.0,1.9,1,0.00,0.01,0.01,1.45,65,3557,6112,4865,1308,Doku
678,49,19,9,False,2023-09-16T14:00:00Z,1,3,5,89,1,0,0,1,0,0,0,0,0,0,2,38,49.0,34.9,60.0,14.4,1,0.09,0.63,0.72,0.92,65,3661,11245,6068,2407,Doku
